,Start date,Start station number,End station number,Bike model,Total duration (m),Start time,start_coordinates,end_coordinates,public_transport,cycling
75,20250131,1068,200158,PBSC_EBIKE,4,2345,"51.52111369,-0.078869751","51.534464,-0.076341",10.0,9.0
76,20250131,1029,200248,CLASSIC,6,2346,"51.52915444,-0.093421615","51.53213,-0.08299",9.0,4.0
77,20250131,1146,1006,CLASSIC,10,2344,"51.52644342,-0.109256828","51.51863,-0.1326763000000141",20.0,10.0
78,20250131,200012,200011,CLASSIC,11,2344,"51.521889,-0.04667","51.519265,-0.021345",12.0,8.0
79,20250131,3452,200149,PBSC_EBIKE,16,2344,"51.50963938,-0.131510949","51.511542,-0.056667",35.0,21.0
80,20250131,1027,3477,CLASSIC,11,2344,"51.52334476,-0.183846408","51.5147461,-0.1651640000000043",17.0,9.0
81,20250131,200250,200002,PBSC_EBIKE,3,2344,"51.520893,-0.051394","51.515975,-0.053177",10.0,2.0
82,20250131,200051,1160,CLASSIC,18,2344,"51.526153,-0.102208","51.50810309,-0.12602103",33.0,14.0
83,20250131,200197,300018,CLASSIC,1,2345,"51.49021762,-0.215087092","51.48728535,-0.217995921",8.0,2.0
84,20250131,1124,300005,PBSC_EBIKE,5,2343,"51.49121192,-0.173715911","51.47729232,-0.16478637",17.0,6.0
85,20250131,3479,2694,PBSC_EBIKE,24,2343,"51.49094565,-0.181190899","51.461388,-0.13922146",37.0,20.0
86,20250131,1000,1103,CLASSIC,4,2343,"51.48591714,-0.124469948","51.49096258,-0.139625122",12.0,5.0
87,20250131,1159,979,CLASSIC,5,2343,"51.52285301,-0.099994052","51.53099181,-0.093903825",17.0,4.0
88,20250131,1093,300050,CLASSIC,12,2343,"51.48894022,-0.111435796","51.491327,-0.096518684",20.0,5.0
89,20250131,3431,3507,CLASSIC,7,2343,"51.5099923,-0.143495266","51.519572,-0.13214036",25.0,7.0
90,20250131,3444,1093,CLASSIC,43,2342,"51.49159394,-0.192369256","51.48894022,-0.111435796",35.0,32.0
91,20250131,200012,200167,CLASSIC,7,2342,"51.521889,-0.04667","51.530326,-0.042744",17.0,5.0
92,20250131,200193,1131,CLASSIC,15,2342,"51.50215353,-0.083632928","51.53266186,-0.099981142",33.0,20.0
93,20250131,1079,3428,CLASSIC,5,2342,"51.52683806,-0.130504336","51.5341235,-0.129386874",14.0,4.0
94,20250131,1058,1099,CLASSIC,3,2342,"51.519968,-0.169774","51.5233534,-0.175116099",6.0,2.0
95,20250131,200110,2690,CLASSIC,59,2342,"51.51616,-0.18697","51.530344,-0.100168",38.0,30.0
96,20250131,200212,10624,CLASSIC,13,2342,"51.511934,-0.10307894","51.493146,-0.099828",21.0,10.0
97,20250131,1002,989,CLASSIC,26,2342,"51.49705603,-0.168917077","51.53089041,-0.089782579",48.0,33.0
98,20250131,1001,300020,PBSC_EBIKE,3,2343,"51.49372451,-0.198286569","51.49087074,-0.206029743",12.0,8.0
99,20250131,2660,300062,CLASSIC,26,2343,"51.51310333,-0.13121385","51.488067,-0.057774596",55.0,29.0
100,20250131,1020,1032,CLASSIC,2,2343,"51.5246962,-0.0844393000000138","51.52452699,-0.079248081",7.0,1.0
101,20250131,200042,300039,CLASSIC,11,2341,"51.528936,-0.055894","51.53603947,-0.026262677",19.0,8.0
102,20250131,200197,200215,CLASSIC,3,2341,"51.49021762,-0.215087092","51.48606206,-0.214428378",10.0,3.0
103,20250131,200197,200215,CLASSIC,3,2341,"51.49021762,-0.215087092","51.48606206,-0.214428378",10.0,3.0
104,20250131,960,1205,CLASSIC,14,2341,"51.50462759,-0.091773776","51.4908679,-0.116911864",24.0,11.0
105,20250131,300063,200183,CLASSIC,14,2341,"51.48224,-0.0942844","51.4795017,-0.141770709",32.0,20.0
106,20250131,3479,200060,PBSC_EBIKE,5,2341,"51.49094565,-0.181190899","51.487196,-0.179369",7.0,1.0
107,20250131,988,1005,CLASSIC,9,2342,"51.51772703,-0.127854211","51.53300545,-0.136792671",23.0,8.0
108,20250131,1007,3426,PBSC_EBIKE,22,2342,"51.51477076,-0.12221963","51.539834,-0.062806212",48.0,25.0
109,20250131,2696,22166,CLASSIC,25,2340,"51.50402794,-0.11386436","51.51328,-0.047784",39.0,21.0
110,20250131,200136,300082,CLASSIC,12,2340,"51.514767,-0.225787","51.49208492,-0.229116862",19.0,13.0
111,20250131,979,1213,PBSC_EBIKE,15,2340,"51.53099181,-0.093903825","51.50227992,-0.074189225",34.0,20.0
112,20250131,1109,200149,PBSC_EBIKE,24,2340,"51.50274025,-0.149569201","51.511542,-0.056667",42.0,28.0
113,20250131,200073,1047,PBSC_EBIKE,10,2339,"51.522561,-0.054883","51.53095071,-0.078505384",23.0,9.0
114,20250131,200183,300005,PBSC_EBIKE,6,2339,"51.4795017,-0.141770709","51.47729232,-0.16478637",17.0,10.0
115,20250131,200147,1225,CLASSIC,36,2339,"51.514115,-0.033828","51.517703,-0.154106",50.0,37.0
116,20250131,200156,1223,CLASSIC,6,2339,"51.527152,-0.058005","51.521776,-0.068856",15.0,5.0
117,20250131,3445,200213,CLASSIC,15,2339,"51.5263778,-0.078130921","51.52868155,-0.065550321",16.0,3.0
118,20250131,1011,200137,PBSC_EBIKE,28,2339,"51.529416,-0.1239443999999991","51.477839,-0.116493",31.0,29.0
119,20250131,300041,2667,PBSC_EBIKE,15,2338,"51.52458353,-0.058631453","51.500845,-0.074704305",35.0,13.0
120,20250131,300005,200169,CLASSIC,9,2338,"51.47729232,-0.16478637","51.46718562,-0.152248582",21.0,9.0
121,20250131,997,300040,CLASSIC,11,2338,"51.521668,-0.079608554","51.53571683,-0.060291813",25.0,9.0
122,20250131,2695,22159,CLASSIC,6,2338,"51.492462,-0.159919","51.490491,-0.149186",12.0,3.0
123,20250131,2696,972,CLASSIC,16,2338,"51.50402794,-0.11386436","51.52554222,-0.138231303",26.0,12.0
124,20250131,1162,200236,CLASSIC,9,2337,"51.5225965,-0.161113413","51.53256,-0.16862",12.0,5.0
125,20250131,1206,2695,CLASSIC,4,2337,"51.49888404,-0.165471605","51.492462,-0.159919",17.0,3.0
126,20250131,1174,1093,PBSC_EBIKE,9,2337,"51.48805753,-0.140741432","51.48894022,-0.111435796",19.0,10.0
127,20250131,2696,300209,CLASSIC,12,2337,"51.50402794,-0.11386436","51.4765900593,-0.118256789081",26.0,16.0
