"Start date","Start station number","End station number","Bike model","Total duration (m)","New Start date","Start time","start_coordinates","end_coordinates"
"2025-01-31 23:55",200250,200102,"CLASSIC",5,"20250523","2355","51.520893,-0.051394","51.521564,-0.039264"
"2025-01-31 23:55",1226,300076,"PBSC_EBIKE",33,"20250523","2355","51.529423,-0.097122","51.4795738,-0.17903854"
"2025-01-31 23:55",1116,300091,"CLASSIC",8,"20250523","2355","51.49536226,-0.185296516","51.48176572,-0.185273723"
"2025-01-31 23:55",200251,200174,"CLASSIC",2,"20250523","2355","51.527058,-0.025296","51.530535,-0.025492"
"2025-01-31 23:56",300239,300063,"CLASSIC",6,"20250523","2356","51.492807,-0.091938","51.48224,-0.0942844"
"2025-01-31 23:54",1083,200115,"CLASSIC",13,"20250523","2354","51.52127071,-0.0755789","51.5128711,-0.0389866"
"2025-01-31 23:54",1226,300076,"PBSC_EBIKE",33,"20250523","2354","51.529423,-0.097122","51.4795738,-0.17903854"
"2025-01-31 23:54",200047,200033,"CLASSIC",5,"20250523","2354","51.52568,-0.055312","51.515256,-0.058641"
"2025-01-31 23:55",3420,1103,"CLASSIC",7,"20250523","2355","51.49313,-0.156876","51.49096258,-0.139625122"
"2025-01-31 23:54",3420,1195,"CLASSIC",7,"20250523","2354","51.49313,-0.156876","51.488226,-0.135635511"
"2025-01-31 23:55",3420,1103,"CLASSIC",6,"20250523","2355","51.49313,-0.156876","51.49096258,-0.139625122"
"2025-01-31 23:53",1182,300073,"PBSC_EBIKE",18,"20250523","2353","51.50935342,-0.196422","51.47515398,-0.159169801"
"2025-01-31 23:52",200157,200230,"PBSC_EBIKE",9,"20250523","2352","51.519362,-0.074431","51.525501,-0.032267204"
"2025-01-31 23:52",1133,1154,"CLASSIC",5,"20250523","2352","51.50144456,-0.110699309","51.49571828,-0.110889274"
"2025-01-31 23:52",1150,3491,"CLASSIC",2,"20250523","2352","51.51031,-0.18740235","51.5134891,-0.191351186"
"2025-01-31 23:52",300221,300005,"CLASSIC",6,"20250523","2352","51.4835074867,-0.147714557371","51.47729232,-0.16478637"
"2025-01-31 23:52",200114,3479,"CLASSIC",9,"20250523","2352","51.47453545,-0.170210533","51.49094565,-0.181190899"
"2025-01-31 23:52",200230,200027,"CLASSIC",6,"20250523","2352","51.525501,-0.032267204","51.532513,-0.033085"
"2025-01-31 23:52",200230,200027,"CLASSIC",6,"20250523","2352","51.525501,-0.032267204","51.532513,-0.033085"
"2025-01-31 23:52",1020,1180,"CLASSIC",20,"20250523","2352","51.5246962,-0.0844393000000138","51.490959,-0.1532331"
"2025-01-31 23:52",2686,1087,"CLASSIC",20,"20250523","2352","51.536264,-0.133952","51.49320445,-0.144132875"
"2025-01-31 23:51",1197,1093,"PBSC_EBIKE",13,"20250523","2351","51.51004801,-0.138846453","51.48894022,-0.111435796"
"2025-01-31 23:51",200197,300018,"CLASSIC",2,"20250523","2351","51.49021762,-0.215087092","51.48728535,-0.217995921"
"2025-01-31 23:50",1158,3492,"CLASSIC",54,"20250523","2350","51.50908747,-0.129697889","51.466907,-0.216573"
"2025-01-31 23:50",3436,3447,"CLASSIC",3,"20250523","2350","51.50136494,-0.191462381","51.49792478,-0.183834706"
"2025-01-31 23:50",1020,200246,"CLASSIC",9,"20250523","2350","51.5246962,-0.0844393000000138","51.53356,-0.09315"
